Description,Pieces,Lengths,Weight,Code
6x12.5,3,40',500# ea.,SWF06125
8x13,1,24',533# ea.,SWF0813
8x13,1,25',325# ea.,USBEAM
8x15,1,23',345# ea.,SWF0815
8x15,1,27',405# ea.,USBEAM
8x18(w/Holes),1,"14' 8""",264# ea.,USBEAM
8x18.4,2,40',736# ea.,SWF8184
8x21,1,12',252# ea.,USBEAM
8x21,3,18',378# ea.,USBEAM
8x21,1,"22' 5""",471# ea.,USBEAM
8x21,1,"30' 2""",634# ea.,USBEAM
8x31,2,7',217# ea.,USBEAM
8x31,3,"7' 11""",245# ea.,USBEAM
8x31,6,8',248# ea.,USBEAM
8x31,2,10',310# ea.,USBEAM
8x31,1,"10' 1""",313# ea.,USBEAM
8x31,2,"11' 4""",351# ea.,USBEAM
8x31,1,"11' 6""",357# ea.,USBEAM
8x31,1,"11' 11""",369# ea.,USBEAM
8x31,12,12',372# ea.,USBEAM
8x31,1,"12' 5""",385# ea.,USBEAM
8x31,1,"12' 6""",388# ea.,USBEAM
8x31,1,"12' 9""",395# ea.,USBEAM
8x31,1,"14' 11""",463# ea.,USBEAM
8x31,3,15',465# ea.,USBEAM
8x48(w/HolesinWeb),1,"13' 3""",636# ea.,USBEAM
10x19,1,27',513# ea.,SWF1019
10x19,3,50',950# ea.,SWF1019
10x30(Primed),1,"24' 4""",730# ea.,USBEAM
10x68,1,12',816# ea.,USBEAM
12x14(ActualLengthx20'),1,17',238# ea.,USBEAM
12x22(Loc275),1,21',462# ea.,USBEAM
12x40,1,6',240# ea,USBEAM
12x72,1,"20' 8""","1,488# ea",USBEAM
12x87,1,30',"2,610# ea",USBEAM
12x210,1,"14' 7""","3,062# ea",USBEAM
12x252,1,"17' 2""","4,326# ea",USBEAM
14x22,1,25',550# ea,USBEAM
14x30(DentedinFlange),1,"16' 3""",488# ea,USBEAM
Description,Pieces,Lengths,Weight,Code
14x34,1,"23' 8""",805# ea,USBEAM
14x34,1,50',"1,700# ea",USBEAM
14x38,1,"12' 2""",462# ea,USBEAM
